city,state,lat,lon
AMBRIDGE,PA,40.6028,-80.2094
AMBROSE,GA,31.5569,-83.0188
AMBROSE,ND,48.8165,-103.5876
AMELIA,LA,29.6574,-91.1179
AMELIA,NE,42.1762,-99.0597
AMELIA,OH,39.015,-84.2016
AMELIA COURT HOUSE,VA,37.3479,-77.9636
AMENIA,ND,47.0211,-97.2502
AMENIA,NY,41.8503,-73.5777
AMERICAN CANYON,CA,38.2036,-122.2319
AMERICAN FALLS,ID,42.8421,-112.9763
AMERICAN FORK,UT,40.406,-111.829
AMERICUS,GA,32.0386,-84.2143
AMERICUS,KS,38.5459,-96.276
AMERY,WI,45.3437,-92.3649
AMES,IA,42.0365,-93.6366
AMES,NE,41.4732,-96.6246
AMES,OK,36.2272,-98.2113
AMESBURY,MA,42.8532,-70.9518
AMESVILLE,OH,39.4177,-81.9534
AMHERST,CO,40.6819,-102.1496
AMHERST,MA,42.3792,-72.4987
AMHERST,NE,40.9023,-99.2928
AMHERST,NH,42.8696,-71.611
AMHERST,OH,41.3712,-82.2601
AMHERST,SD,45.7333,-97.917
AMHERST,TX,33.9643,-102.4701
AMHERST,VA,37.6235,-79.0923
AMHERST,WI,44.4051,-89.3252
AMHERST JUNCTION,WI,44.5335,-89.3045
AMHERSTDALE,WV,37.8316,-81.7248
AMIDON,ND,46.455,-103.3627
AMIGO,WV,37.5966,-81.344
AMISSVILLE,VA,38.6944,-77.9993
AMISTAD,NM,35.9111,-103.2081
AMITE,LA,30.7393,-90.5633
AMITY,AR,34.2502,-93.3334
AMITY,MO,39.9009,-94.4974
AMITY,OR,45.1021,-123.2333
AMITY,PA,40.0513,-80.1883
AMITYVILLE,NY,40.6833,-73.4102
AMLIN,OH,40.0671,-83.1863
AMMA,WV,38.5523,-81.2421
AMMON,VA,37.1609,-77.5883
AMO,IN,39.6893,-86.6133
AMONATE,VA,37.1752,-81.6699
AMORET,MO,38.2684,-94.5628
AMORITA,OK,36.9482,-98.2365
AMORY,MS,33.9699,-88.4177
AMSTERDAM,MO,38.3773,-94.5614
AMSTERDAM,NY,42.9405,-74.1694
AMSTERDAM,OH,40.4707,-80.9414
AMSTON,CT,41.6288,-72.3731
ANABEL,MO,39.7502,-92.3307
ANACOCO,LA,31.1945,-93.4242
ANACONDA,MT,46.1255,-113.0676
ANACORTES,WA,48.5181,-122.6779
ANADARKO,OK,35.1237,-98.2328
ANAHEIM,CA,33.8346,-117.9019
ANAHOLA,HI,22.1649,-159.351
ANAHUAC,TX,29.7072,-94.5715
ANAKTUVUK PASS,AK,68.1367,-151.6968
ANALOMINK,PA,41.0511,-75.2205
ANAMOOSE,ND,47.8628,-100.2207
ANAMOSA,IA,42.1167,-91.2774
ANASCO,PR,18.2946,-67.13
ANATONE,WA,46.1216,-117.153
ANAWALT,WV,37.344,-81.4151
ANCHOR,IL,40.5294,-88.5169
ANCHOR POINT,AK,59.8116,-151.6403
ANCHORAGE,AK,61.1962,-149.893
ANCHORVILLE,MI,42.6913,-82.6889
ANCONA,IL,41.042,-88.8641
ANCRAM,NY,42.0681,-73.6552
ANCRAMDALE,NY,42.0314,-73.5849
ANDALE,KS,37.7646,-97.6441
ANDALUSIA,AL,31.2795,-86.5053
ANDALUSIA,IL,41.4321,-90.7157
ANDERSON,AK,64.2816,-149.1318
ANDERSON,AL,34.9392,-87.2468
ANDERSON,CA,40.4506,-122.3164
ANDERSON,IN,40.1008,-85.6748
ANDERSON,MO,36.6774,-94.454
ANDERSON,SC,34.4905,-82.6747
ANDERSON,TX,30.5521,-96.0025
ANDERSON ISLAND,WA,47.1557,-122.7077
ANDERSONVILLE,GA,32.1861,-84.114
ANDERSONVILLE,TN,36.2299,-84.0216
ANDES,NY,42.1334,-74.7797
ANDOVER,CT,41.7319,-72.3739
ANDOVER,IA,41.9896,-90.1621
ANDOVER,IL,41.294,-90.2906
